,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
0,Port Alfred,ZA,-33.5906,26.891,1646347293,69.17,91,100,3.85
1,Kandrian,PG,-6.2167,149.55,1646347293,82.8,77,98,4.12
2,Dikson,RU,73.5069,80.5464,1646347294,-4.63,95,100,8.7
3,Te Anau,NZ,-45.4167,167.7167,1646347294,65.03,58,100,1.41
4,Norman Wells,CA,65.282,-126.8329,1646347215,6.84,61,20,9.22
5,Khatanga,RU,71.9667,102.5,1646347296,-28.86,100,97,1.3
6,Ushuaia,AR,-54.8,-68.3,1646347296,53.26,66,40,4.61
7,Arraial do Cabo,BR,-22.9661,-42.0278,1646347296,78.76,78,0,9.22
8,Mar del Plata,AR,-38.0023,-57.5575,1646346997,68.02,85,0,30.0
9,Rikitea,PF,-23.1203,-134.9692,1646347297,80.02,75,1,17.74
10,Punta Arenas,CL,-53.15,-70.9167,1646347298,51.91,58,75,13.8
11,Cape Town,ZA,-33.9258,18.4232,1646347143,65.26,82,40,6.91
12,Cape Canaveral,US,28.4058,-80.6048,1646347299,79.21,55,0,11.5
13,Bredasdorp,ZA,-34.5322,20.0403,1646347299,65.52,72,62,4.61
14,Broome,US,42.2506,-75.833,1646347300,23.16,55,0,14.97
15,Barrow,US,71.2906,-156.7887,1646347300,15.82,79,100,6.91
16,Albany,US,42.6001,-73.9662,1646347296,25.38,51,59,3.0
17,Kapaa,US,22.0752,-159.319,1646347301,81.48,65,100,11.5
18,Loandjili,CG,-4.7561,11.8578,1646347301,84.31,84,40,9.22
19,Chokurdakh,RU,70.6333,147.9167,1646347302,-18.18,100,90,2.39
20,Kysyl-Syr,RU,63.8986,122.7617,1646347302,-16.17,100,100,4.45
21,Ponta do Sol,PT,32.6667,-17.1,1646347303,62.13,57,83,10.71
22,Biak,ID,-0.9131,122.8766,1646347303,78.33,79,98,0.63
23,Hobart,AU,-42.8794,147.3294,1646347165,69.26,74,100,9.22
24,Souillac,MU,-20.5167,57.5167,1646347304,77.38,94,75,3.44
